"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1178","View all transactions across a customer's accounts","firefox","2026-07-24","passed","2026-07-24","Account Management","","",""
"","1520","Refreshing the browser preserves the logged-in session","webkit","2026-07-24","passed","2026-07-24","Session and Token Management","","",""
"","944","A script-injection payload in a customer's name is rendered safely in the UI","chromium","2026-07-24","passed","2026-07-24","Security and Access Control","","",""
"","101","Requesting the customer list with a limit of zero falls back to the default page size","chromium","2026-07-24","passed","2026-07-24","Customer Search and Directory","","",""
"","1049","Error banners and action buttons meet color contrast requirements","firefox","2026-07-24","passed","2026-07-24","User Authentication","","",""
"","2965","The Add Customer form is accessible","webkit","2026-07-24","passed","2026-07-24","Customer Profile Management","","",""
"","97","An expired access token is rejected","chromium","2026-07-24","passed","2026-07-24","Session and Token Management","","",""
"","120","Transfer fails when the source account balance is insufficient","chromium","2026-07-24","passed","2026-07-24","Fund Transfer","","",""
"","104","Creating an account without an account type fails","chromium","2026-07-24","passed","2026-07-24","Account Management","","",""
"","121","Two simultaneous transfers from the same account can combine to exceed its balance","chromium","2026-07-24","passed","2026-07-24","Fund Transfer Resilience and Reliability","","",""
"","1744","Logging out clears the client-side session","webkit","2026-07-24","passed","2026-07-24","Session and Token Management","","",""
"","11593","View all accounts for a customer","webkit","2026-07-24","passed","2026-07-24","Account Management","","",""
"","2870","The customer list and customer details screens are accessible","webkit","2026-07-24","passed","2026-07-24","Customer Search and Directory","","",""
"","285","Retrying a login request after a network timeout is safe","chromium","2026-07-24","passed","2026-07-24","User Authentication","","",""
"","918","Two browser tabs share the same logged-in session","chromium","2026-07-24","passed","2026-07-24","Session and Token Management","","",""
"","107","Example #2","chromium","2026-07-24","passed","2026-07-24","Account Management > Account creation accepts values outside the intended enumerations","","",""
"","100","A customer or account can be accessed by guessing or incrementing its identifier","chromium","2026-07-24","passed","2026-07-24","Security and Access Control","","",""
"","101","Search fails when no query is provided","chromium","2026-07-24","passed","2026-07-24","Customer Search and Directory","","",""
"","3","The frontend recovers gracefully after the backend restarts mid-session","firefox","2026-07-24","skipped","2026-07-24","System Health and Error Handling","","",""
